TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,ICB Industry,ICB Super-Sector Name,Start Date,Country of Incorporation,Trading Currency,Security Mkt Cap (in �m),LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
JCGI,JPMORGAN CHINA GROWTH & INCOME PLC,ORD 25P,GB0003435012,SHRS,Financials,Financial Services ,18/12/2007,United Kingdom,GBX,�465.93,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
JCH,JPMORGAN CLAVERHOUSE INVESTMENT TRUST PLC,ORD 25P,GB0003422184,SHRS,Financials,Financial Services ,08/07/2005,United Kingdom,GBX,�449.98,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
JPE,JPMORGAN ELECT PLC,MANAGED GROWTH SHS 0.00410736P,GB0008528142,SHRS,Financials,Financial Services ,15/01/2004,United Kingdom,GBX,�298.57,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
JPEC,JPMORGAN ELECT PLC,MANAGED CASH SHS 0.001P,GB0034080092,SHRS,Financials,Financial Services ,19/01/2004,United Kingdom,GBX,�7.74,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
JPEI,JPMORGAN ELECT PLC,MANAGED INC SHS 0.001P,GB0034080217,SHRS,Financials,Financial Services ,19/01/2004,United Kingdom,GBX,�80.75,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
JMG,JPMORGAN EMERGING MARKETS INVESTMENT TRUST PLC,ORD 2.5P,GB00BMXWN182,SHRS,Financials,Financial Services ,06/11/2020,United Kingdom,GBX,"�1,590.49",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
JEDT,JPMORGAN EUROPEAN DISCOVERY TRUST PLC,ORD 5P,GB00BMTS0Z37,SHRS,Financials,Financial Services ,23/07/2014,United Kingdom,GBX,�869.07,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25T
JETG,JPMORGAN EUROPEAN INVESTMENT TRUST PLC,GWTH SHS 3.90508P,GB00B18JK166,SHRS,Financials,Financial Services ,02/08/2006,United Kingdom,GBX,�267.62,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
JETI,JPMORGAN EUROPEAN INVESTMENT TRUST PLC,INC SHS 1.72072P,GB00B17XWW44,SHRS,Financials,Financial Services ,02/08/2006,United Kingdom,GBX,�134.51,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
JARA,JPMORGAN GLOBAL CORE REAL ASSETS LIMITED,ORD NPV,GG00BJVKW831,SHRS,Financials,Financial Services ,24/09/2019,Guernsey,GBX,�200.88,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC7
JARE,JPMORGAN GLOBAL CORE REAL ASSETS LIMITED,ORD NPV (EUR),GG00BJVKW831,SHRS,Financials,Financial Services ,12/03/2020,Guernsey,EUR,,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
JARU,JPMORGAN GLOBAL CORE REAL ASSETS LIMITED,ORD NPV (USD),GG00BJVKW831,SHRS,Financials,Financial Services ,12/03/2020,Guernsey,USD,,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
JEMI,JPMORGAN GLOBAL EMERGING MARKETS INCOME TRUST PLC,ORD 1P,GB00B5ZZY915,SHRS,Financials,Financial Services ,29/07/2010,United Kingdom,GBX,�439.17,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
JGGI,JPMORGAN GLOBAL GROWTH & INCOME PLC,ORD 5P,GB00BYMKY695,SHRS,Financials,Financial Services ,08/01/2016,United Kingdom,GBX,�694.02,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
JII,JPMORGAN INDIAN INVESTMENT TRUST PLC,ORD 25P,GB0003450359,SHRS,Financials,Financial Services ,08/07/2005,United Kingdom,GBX,�629.39,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
JFJ,JPMORGAN JAPANESE INVESTMENT TRUST PLC,ORD 25P,GB0001740025,SHRS,Financials,Financial Services ,13/01/2004,United Kingdom,GBX,"�1,021.19",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
JPSS,JPMORGAN JAPAN SMALL CAP GROWTH & INCOME PLC,SUB SHS 0.1P,GB00BSFWJ549,SHRS,Financials,Financial Services ,16/12/2014,United Kingdom,GBX,�3.51,MAIN MARKET,Standard Shares,SSX4,SXSN
JSGI,JPMORGAN JAPAN SMALL CAP GROWTH & INCOME PLC,ORD 10P,GB0003165817,SHRS,Financials,Financial Services ,02/12/2005,United Kingdom,GBX,�272.01,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
JMF,JPMORGAN MID CAPITAL INVESTMENT TRUST PLC,ORD 25P,GB0002357613,SHRS,Financials,Financial Services ,08/07/2005,United Kingdom,GBX,�362.50,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
MATE,JPMORGAN MULTI-ASSET GROWTH & INCOME PLC,ORD 1P,GB00BFWJJT14,SHRS,Financials,Financial Services ,02/03/2018,United Kingdom,GBX,�87.34,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
JRS,JPMORGAN RUSSIAN SECURITIES PLC,ORD 1P,GB0032164732,SHRS,Financials,Financial Services ,03/03/2006,United Kingdom,GBX,�316.90,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
JMI,JPMORGAN SMALLER COMPANIES INVESTMENT TRUST PLC,ORD 5P,GB00BF7L8P11,SHRS,Financials,Financial Services ,30/11/2018,United Kingdom,GBX,�355.53,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
JUSC,JPMORGAN US SMALLER CO. INV TST PLC,ORD 2.5P,GB00BJL5F346,SHRS,Financials,Financial Services ,06/03/2014,United Kingdom,GBX,�281.35,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
JTC,JTC PLC,ORD GBP0.01,JE00BF4X3P53,SHRS,Financials,Financial Services ,14/03/2018,Jersey,GBX,"�1,022.05",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
JLP,JUBILEE METALS GROUP PLC,ORD 1P,GB0031852162,SHRS,Basic Materials,Basic Resources,23/09/2004,United Kingdom,GBX,�396.92,AIM,,ASQ1,AMQ1
JDG,JUDGES SCIENTIFIC PLC,ORD 5P,GB0032398678,SHRS,Industrials,Industrial Goods and Services,21/12/2005,United Kingdom,GBX,�441.94,AIM,,ASQ1,AMQ1
JEFI,JUPITER EMERGING & FRONTIER INCOME TRUST PLC,RED ORD GBP0.01,GB00BDR05757,SHRS,Financials,Financial Services ,15/05/2017,United Kingdom,GBX,�60.21,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
JUP,JUPITER FUND MANAGEMENT PLC,ORD 2P,GB00B53P2009,SHRS,Financials,Financial Services ,16/06/2010,United Kingdom,GBX,"�1,496.58",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
JGC,JUPITER GREEN INVESTMENT TRUST PLC,ORD 0.1P,GB00B120GL77,SHRS,Financials,Financial Services ,20/03/2007,United Kingdom,GBX,�55.94,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
JET,JUST EAT TAKEAWAY.COM N.V.,ORD EUR0.04 (CDI),NL0012015705,SHRS,Technology,Technology,03/02/2020,Netherlands,GBX,"�13,590.61",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
JUST,JUST GROUP PLC,ORD 10P,GB00BCRX1J15,SHRS,Financials,Insurance,12/11/2013,United Kingdom,GBX,�965.09,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
JZCP,JZ CAPITAL PARTNERS LIMITED,ORD NPV,GG00B403HK58,SHRS,Financials,Financial Services ,23/06/2009,Guernsey,GBX,�92.97,MAIN MARKET - SFS,,SFM2,SFQQ
JZCZ,JZ CAPITAL PARTNERS LIMITED,ZERO DIV PREF SHS NPV (2022),GG00BZ0RY036,SHRS,Financials,Financial Services ,01/10/2015,Guernsey,GBX,,MAIN MARKET - SFS,,SFM2,SFQQ
KBT,K3 BUSINESS TECHNOLOGY GROUP PLC,ORD 25P,GB00B00P6061,SHRS,Technology,Technology,29/04/2004,United Kingdom,GBX,�87.23,AIM,,ASX1,AIMP
K3C,K3 CAPITAL GROUP PLC,ORD 1P,GB00BF1HPD20,SHRS,Financials,Financial Services ,11/04/2017,United Kingdom,GBX,�258.18,AIM,,ASQ1,AMQ1
KNOS,KAINOS GROUP PLC,ORD 0.5P,GB00BZ0D6727,SHRS,Technology,Technology,10/07/2015,United Kingdom,GBX,"�2,439.23",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
KAKU,KAKUZI LD,STK KES5,KE0000000281,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",16/03/2006,Kenya,GBX,�18.13,MAIN MARKET,Standard Shares,SSX4,SXSN
KNB,KANABO GROUP PLC,ORD 2.5P,GB00BYQCS703,SHRS,Health Care ,Health Care  ,17/05/2017,United Kingdom,GBX,�71.94,MAIN MARKET,Standard Shares,SSQ3,SQS3
KAPE,KAPE TECHNOLOGIES PLC,ORD USD0.0001,IM00BQ8NYV14,SHRS,Technology,Technology,30/09/2014,Isle of Man,GBX,�844.98,AIM,,ASQ1,AMQ1
KDR,KARELIAN DIAMOND RESOURCES PLC,ORD EUR0.00025 (CDI),IE00BD09HK61,SHRS,Basic Materials,Basic Resources,22/12/2017,Ireland,GBX,�1.99,AIM,,ASX1,AIMP
KAT,KATORO GOLD PLC,ORD GBP0.01,GB00BSNBL022,SHRS,Basic Materials,Basic Resources,27/04/2015,United Kingdom,GBX,�2.94,AIM,,ASQ1,AMQ1
KAV,KAVANGO RESOURCES PLC,ORD 0.1P,GB00BF0VMV24,SHRS,Basic Materials,Basic Resources,31/07/2018,United Kingdom,GBX,�16.37,MAIN MARKET,Standard Shares,SSX3,SQSL
KZG,KAZERA GLOBAL PLC,ORD 0.1P,GB00B830HW33,SHRS,Industrials,Industrial Goods and Services,09/11/2012,United Kingdom,GBX,�8.57,AIM,,ASQ1,AMQ1
KCR,KCR RESIDENTIAL REIT PLC,ORD 10P,GB00BYWK1Q82,SHRS,Real Estate,Real Estate ,27/11/2017,United Kingdom,GBX,�6.76,AIM,,ASQ1,AMQ1
KEFI,KEFI GOLD AND COPPER PLC,ORD 0.1P,GB00BD8GP619,SHRS,Basic Materials,Basic Resources,02/03/2017,United Kingdom,GBX,�35.18,AIM,,AMSM,ASM6
KLR,KELLER GROUP PLC,ORD 10P,GB0004866223,SHRS,Industrials,Construction and Materials,27/11/2006,United Kingdom,GBX,�704.35,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
KMR,KENMARE RESOURCES PLC,ORD EUR0.001 (CDI),IE00BDC5DG00,SHRS,Basic Materials,Basic Resources,26/07/2016,Ireland,GBX,�460.89,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
KRS,KERAS RESOURCES PLC,ORD 0.01P,GB00B649J414,SHRS,Basic Materials,Basic Resources,18/07/2011,United Kingdom,GBX,�5.50,AIM,,ASX1,AIMP
KYGA,KERRY GROUP PLC,'A'ORD EUR0.125 (CDI),IE0004906560,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",08/07/2005,Ireland,EUR,"�18,592.00",MAIN MARKET,Premium Equity Commercial Companies,SET3,ON5
KEYS,KEYSTONE LAW GROUP PLC,ORD 0.2P,GB00BZ020557,SHRS,Industrials,Industrial Goods and Services,27/11/2017,United Kingdom,GBX,�244.25,AIM,,ASQ1,AMQ1
70HF,KEYSTONE POSITIVE CHANGE INVESTMENT TRUST PLC,5% CUM PRF #1,GB0004912282,SHRS,Financials,Financial Services ,28/06/2002,United Kingdom,GBX,,MAIN MARKET,Standard Shares,SSX4,SXSN
KPC,KEYSTONE POSITIVE CHANGE INVESTMENT TRUST PLC,ORD 10P,GB00BK96BB68,SHRS,Financials,Financial Services ,13/02/2020,United Kingdom,GBX,�221.30,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
KWS,KEYWORDS STUDIOS PLC,ORD 1P,GB00BBQ38507,SHRS,Consumer Discretionary,Consumer Products and Services,12/07/2013,United Kingdom,GBX,"�2,350.11",AIM,,AMSM,AS50
KIBO,KIBO ENERGY PLC,ORD EUR0.001 (CDI),IE00B97C0C31,SHRS,Basic Materials,Basic Resources,25/03/2013,Ireland,GBX,�5.32,AIM,,ASQ1,AMQ1
KIE,KIER GROUP PLC,ORD 1P,GB0004915632,SHRS,Industrials,Construction and Materials,19/12/2005,United Kingdom,GBX,�573.78,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
KCT,KIN AND CARTA PLC,ORD 10P,GB0007689002,SHRS,Technology,Technology,19/12/2005,United Kingdom,GBX,�467.35,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
KGF,KINGFISHER PLC,ORD 15 5/7P,GB0033195214,SHRS,Consumer Discretionary,Retail ,24/11/2003,United Kingdom,GBX,"�7,487.40",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
KAY,KINGS ARMS YARD VCT PLC,ORD 1P,GB0007174294,SHRS,Financials,Financial Services ,03/08/2004,United Kingdom,GBX,�100.79,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
KGP,KINGSPAN GROUP PLC,ORD EUR0.13 (CDI),IE0004927939,SHRS,Industrials,Construction and Materials,08/07/2005,Ireland,EUR,"�15,143.25",MAIN MARKET,Premium Equity Commercial Companies,SET3,ON5
KWG,KINGSWOOD HOLDINGS LIMITED,ORD 5P,GG00BKY4K072,SHRS,Financials,Financial Services ,07/05/2014,United Kingdom,GBX,�60.74,AIM,,ASQ1,AMQ1
KINO,KINOVO PLC,ORD 10P,GB00BV9GHQ09,SHRS,Industrials,Industrial Goods and Services,06/03/2015,United Kingdom,GBX,�22.04,AIM,,ASQ1,AMQ1
KIST,KISTOS PLC,ORD GBP0.10,GB00BLF7NX68,SHRS,Energy,Energy,25/11/2020,United Kingdom,GBX,�198.87,AIM,,ASQ1,AMQ1
KITW,KITWAVE GROUP PLC,ORD GBP0.01,GB00BNYKB709,SHRS,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",24/05/2021,United Kingdom,GBX,�109.20,AIM,,AMSM,ASM6
KKVL,KKV SECURED LOAN FUND LIMITED,ORD NPV,GG00BN56JF17,SHRS,Financials,Financial Services ,14/07/2014,Guernsey,GBX,�58.82,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
KKVX,KKV SECURED LOAN FUND LIMITED,C SHS NPV,GG00BFXYHJ13,SHRS,Financials,Financial Services ,29/05/2018,Guernsey,GBX,�55.99,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
KGH,KNIGHTS GROUP HOLDINGS PLC,ORD 0.2P,GB00BFYF6298,SHRS,Industrials,Industrial Goods and Services,29/06/2018,United Kingdom,GBX,�333.82,AIM,,AMSM,AS50
KOD,KODAL MINERALS PLC,ORD 0.03125P,GB00BH3X7Y70,SHRS,Basic Materials,Basic Resources,30/12/2013,United Kingdom,GBX,�55.98,AIM,,ASQ1,AMQ1
KNM,KONAMI HOLDINGS CORPORATION,JPY50,JP3300200007,SHRS,Consumer Discretionary,Consumer Products and Services,27/09/2004,Japan,JPY,"�6,569.44",MAIN MARKET,Standard Shares,SSX4,SXSN
KOO,KOOTH PLC,ORD 5P,GB00BMCZLK30,SHRS,Technology,Technology,02/09/2020,United Kingdom,GBX,�122.64,AIM,,ASQ1,AMQ1
KP2,KORE POTASH PLC,ORD USD0.001,GB00BYP2QJ94,SHRS,Basic Materials,Basic Resources,29/03/2018,United Kingdom,GBX,�29.54,AIM,,ASQ1,AMQ1
KOS,KOSMOS ENERGY LTD,COM SHS USD0.01 (DI),US5006881065,SHRS,Energy,Energy,31/12/2018,United States,GBX,�682.15,MAIN MARKET,Standard Shares,SSMU,SMEV
KRM,KRM22 PLC,ORD 10P,GB00BFM6WC61,SHRS,Financials,Financial Services ,30/04/2018,United Kingdom,GBX,�8.56,AIM,,ASQ1,AMQ1
KMK,KROMEK GROUP PLC,ORD 1P,GB00BD7V5D43,SHRS,Health Care ,Health Care  ,16/10/2013,United Kingdom,GBX,�80.97,AIM,,ASQ1,AMQ1
KRPZ,KROPZ PLC,ORD 0.1P,GB00BZ1HLP69,SHRS,Basic Materials,Basic Resources,30/11/2018,United Kingdom,GBX,�45.02,AIM,,ASQ1,AMQ1
KSK,KSK POWER VENTUR PLC,ORD 0.1P,IM00B1G29327,SHRS,Utilities,Utilities,01/11/2006,Isle of Man,GBX,,MAIN MARKET,Standard Shares,SSMU,SMEW
LAM,LAMPRELL PLC,ORD 5P,GB00B1CL5249,SHRS,Energy,Energy,11/10/2006,Isle of Man,GBX,�128.32,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
LRE,LANCASHIRE HOLDINGS LIMITED,COM SHS USD0.50,BMG5361W1047,SHRS,Financials,Insurance,13/12/2005,Bermuda,GBX,"�1,559.22",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
LND,LANDORE RESOURCES LIMITED,ORD NPV,GG00BMX4VR69,SHRS,Basic Materials,Basic Resources,21/08/2020,Guernsey,GBX,�27.60,AIM,,ASX1,AIMP
LAND,LAND SECURITIES GROUP PLC,ORD 10 2/3P,GB00BYW0PQ60,SHRS,Real Estate,Real Estate ,28/09/2017,United Kingdom,GBX,"�5,301.56",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
LOGP,LANSDOWNE OIL & GAS PLC,ORD 0.1P,GB00B1250X28,SHRS,Energy,Energy,20/12/2006,United Kingdom,GBX,�6.33,AIM,,ASX1,AIMP
LTHM,LATHAM (JAMES) PLC,ORD 25P,GB00B04NP100,SHRS,Industrials,Industrial Goods and Services,21/09/2005,United Kingdom,GBX,�262.69,AIM,,ASX1,AIMP
LTHP,LATHAM (JAMES) PLC,8% CUM PRF #1,GB0005065312,SHRS,Industrials,Industrial Goods and Services,31/12/2004,United Kingdom,GBX,�0.73,AIM,,ASXN,AIMN
LWDB,LAW DEBENTURE CORPORATION PLC,ORD 5P,GB0031429219,SHRS,Financials,Financial Services ,08/07/2005,United Kingdom,GBX,�989.79,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
LTG,LEARNING TECHNOLOGIES GROUP PLC,ORD 0.375P,GB00B4T7HX10,SHRS,Technology,Technology,15/06/2011,United Kingdom,GBX,"�1,813.96",AIM,,AMSM,AS50
LDSG,LEEDS GROUP PLC,ORD 12P,GB0005100606,SHRS,Basic Materials,Basic Resources,24/06/2004,United Kingdom,GBX,�7.51,AIM,,ASX1,AIMP
LGEN,LEGAL & GENERAL GROUP PLC,ORD 2 1/2P,GB0005603997,SHRS,Financials,Insurance,24/11/2003,United Kingdom,GBX,"�16,118.78",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
LEK,LEKOIL LIMITED,ORD USD0.00005 (DI),KYG5462G1073,SHRS,Energy,Energy,17/05/2013,Cayman Islands,GBX,�6.98,AIM,,ASQ1,AMQ1
LINV,LENDINVEST PLC,ORD 0.05P,GB00BMC2XX17,SHRS,Financials,Financial Services ,14/07/2021,United Kingdom,GBX,�310.56,AIM,,ASQ1,AMQ1
LEX,LEXINGTON GOLD LTD,COM SHS USD0.003 (DI),BMG5479L1072,SHRS,Basic Materials,Basic Resources,08/12/2020,Bermuda,GBX,�9.81,AIM,,ASX1,AIMP
LSAA,LIFE SETTLEMENT ASSETS PLC,ORD SHS USD0.01,GB00BF1Q4B05,SHRS,Financials,Financial Services ,26/03/2018,United Kingdom,USD,�56.14,MAIN MARKET - SFS,,SFM2,SFQQ
LIKE,LIKEWISE GROUP PLC,ORD GBP0.01,GB00BHNWH003,SHRS,Consumer Discretionary,Consumer Products and Services,18/08/2021,United Kingdom,GBX,�60.12,AIM,,ASQ1,AMQ1
LME,LIMITLESS EARTH PLC,ORD 1P,GB00BKXP5L71,SHRS,Financials,Financial Services ,12/05/2014,United Kingdom,GBX,�9.16,AIM,,ASQ1,AMQ1
LTI,LINDSELL TRAIN INVESTMENT TRUST PLC,ORD 75P,GB0031977944,SHRS,Financials,Financial Services ,02/10/2002,United Kingdom,GBP,�310.00,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
LIO,LIONTRUST ASSET MANAGEMENT PLC,ORD 1P,GB0007388407,SHRS,Financials,Financial Services ,02/12/2005,United Kingdom,GBX,"�1,408.80",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
BOOK,LITERACY CAPITAL PLC,ORD GBP0.001,GB00BMF1L080,SHRS,Financials,Financial Services ,25/06/2021,United Kingdom,GBX,�156.00,MAIN MARKET - SFS,,SFM2,SFQQ
LIT,LITIGATION CAPITAL MANAGEMENT LIMITED,ORD NPV (DI),AU000000LCA6,SHRS,Financials,Financial Services ,19/12/2018,Australia,GBX,�117.25,AIM,,AMSM,ASM6
LVCG,LIVE COMPANY GROUP PLC,ORD 1P,GB00BGSGT481,SHRS,Consumer Discretionary,Media,30/12/2013,United Kingdom,GBX,�6.62,AIM,,ASX1,AIMP
LIV,LIVERMORE INVESTMENTS GROUP LIMITED,ORD NPV,VGG550931015,SHRS,Financials,Financial Services ,05/08/2011,British Virgin Islands,GBX,�71.64,AIM,,AMSM,ASM7
LLOY,LLOYDS BANKING GROUP PLC,ORD 10P,GB0008706128,SHRS,Financials,Banks,24/11/2003,United Kingdom,GBX,"�31,294.44",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
LMS,LMS CAPITAL PLC,ORD 10P,GB00B12MHD28,SHRS,Financials,Financial Services ,14/03/2007,United Kingdom,GBX,�28.42,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
LSAI,LOCATION SCIENCES GROUP PLC,ORD 0.1P,GB00BGT36S19,SHRS,Technology,Technology,23/11/2018,United Kingdom,GBX,�15.63,AIM,,ASQ1,AMQ1
LDG,LOGISTICS DEVELOPMENT GROUP PLC,ORD GBP0.01,GB00BD8QVC95,SHRS,Industrials,Industrial Goods and Services,25/04/2017,United Kingdom,GBX,�96.20,AIM,,ASQ1,AMQ1
LOK,LOK'N STORE GROUP PLC,ORD 1P,GB0007276115,SHRS,Real Estate,Real Estate ,22/06/2005,United Kingdom,GBX,�230.07,AIM,,ASX1,AIMP
LAS,LONDON & ASSOCIATED PROPERTIES PLC,ORD 10P,GB0005234223,SHRS,Real Estate,Real Estate ,19/12/2005,United Kingdom,GBX,�10.67,MAIN MARKET,Standard Shares,SSX3,SQSL
LFI,LONDON FINANCE & INVESTMENT GROUP PLC,5P,GB0002994001,SHRS,Financials,Financial Services ,16/09/1999,United Kingdom,GBX,�12.17,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
LMP,LONDONMETRIC PROPERTY PLC,ORD 10P,GB00B4WFW713,SHRS,Real Estate,Real Estate ,01/10/2010,United Kingdom,GBX,"�2,388.64",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
LSC,LONDON SECURITY PLC,ORD 1P,GB0005314363,SHRS,Industrials,Industrial Goods and Services,02/06/2000,United Kingdom,GBX,�294.28,AIM,,ASX1,AIMP
LSEG,LONDON STOCK EXCHANGE GROUP PLC,ORD SHS 6 79/86P,GB00B0SWJX34,SHRS,Financials,Financial Services ,15/05/2006,United Kingdom,GBX,"�40,607.92",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
LBE,LONGBOAT ENERGY PLC,ORD 10P,GB00BKFW2482,SHRS,Energy,Energy,28/11/2019,United Kingdom,GBX,�40.52,AIM,,ASX1,AMSR
LOOK,LOOKERS PLC,ORD  5P,GB00B17MMZ46,SHRS,Consumer Discretionary,Retail ,05/07/2006,United Kingdom,GBX,�262.47,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
LOOP,LOOPUP GROUP PLC,ORD 0.5P,GB00BYQP6S60,SHRS,Technology,Technology,24/08/2016,United Kingdom,GBX,�21.90,AIM,,ASQ1,AMQ1
LORD,LORDS GROUP TRADING PLC,ORD 0.5P,GB00BM9CLS53,SHRS,Industrials,Construction and Materials,20/07/2021,United Kingdom,GBX,�192.94,AIM,,ASQ1,AMQ1
LGRS,LOUNGERS PLC,ORD 1P,GB00BH4JR002,SHRS,Consumer Discretionary,Travel and Leisure,29/04/2019,United Kingdom,GBX,�281.50,AIM,,ASQ1,AMQ1
LWI,LOWLAND INVESTMENT COMPANY PLC,ORD 25P,GB0005368062,SHRS,Financials,Financial Services ,08/07/2005,United Kingdom,GBX,�380.29,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
LPA,LPA GROUP PLC,ORD 10P,GB0007320806,SHRS,Industrials,Industrial Goods and Services,07/05/2002,United Kingdom,GBX,�10.29,AIM,,ASX1,AIMP
LSL,LSL PROPERTY SERVICES PLC,ORD 0.2P,GB00B1G5HX72,SHRS,Real Estate,Real Estate ,19/03/2007,United Kingdom,GBX,�494.25,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
LUCE,LUCECO PLC,ORD GBP0.0005,GB00BZC0LP49,SHRS,Industrials,Industrial Goods and Services,17/10/2016,United Kingdom,GBX,�799.18,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
LLAI,"LUNGLIFE AI, INC",ORD USD0.0001 (DI) (REG S),USU5500L1045,SHRS,Health Care ,Health Care  ,08/07/2021,United States,GBX,�51.09,AIM,,ASX1,AMSR
LXI,LXI REIT PLC,ORD 1P,GB00BYQ46T41,SHRS,Real Estate,Real Estate ,27/02/2017,United Kingdom,GBX,"�1,042.70",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25T
MPO,MACAU PROPERTY OPPORTUNITIES FUND LIMITED,ORD USD0.01,GG00BGDYFV61,SHRS,Financials,Financial Services ,10/07/2018,Guernsey,GBX,�40.19,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
MACF,MACFARLANE GROUP PLC,ORD 25P,GB0005518872,SHRS,Industrials,Industrial Goods and Services,16/04/1996,United Kingdom,GBX,�220.94,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC6
MADE,MADE.COM GROUP PLC,ORD GBP0.0001,GB00BNXM7M46,SHRS,Consumer Discretionary,Consumer Products and Services,19/06/2021,United Kingdom,GBX,�630.17,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
MNO,MAESTRANO GROUP PLC,ORD 1P,GB00BYZQM590,SHRS,Technology,Technology,30/05/2018,United Kingdom,GBX,�21.06,AIM,,ASQ1,AMQ1
MAI,MAINTEL HOLDINGS PLC,ORD 1P,GB00B046YG73,SHRS,Telecommunications,Telecommunications,21/12/2005,United Kingdom,GBX,�46.67,AIM,,ASQ1,AMQ1
MAJE,MAJEDIE INVESTMENTS PLC,10P,GB0005555221,SHRS,Financials,Financial Services ,08/07/2005,United Kingdom,GBX,�122.20,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
MLVN,MALVERN INTERNATIONAL PLC,ORD 0.1P,GB00B04XB679,SHRS,Industrials,Industrial Goods and Services,21/09/2005,United Kingdom,GBX,�5.27,AIM,,ASQ1,AMQ1
MNL,MANCHESTER & LONDON INVESTMENT TRUST PLC,ORD 25P,GB0002258472,SHRS,Financials,Financial Services ,16/09/1999,United Kingdom,GBX,�233.85,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
